28-10-2016,46400,48150,46275,47903.95,47556.2,2367,1570,112565536,332,14.03,1875,1503.95
30-10-2016,48499,48580,47565,47990.15,48205.91,431,281,20776746,162,37.59,1015,-508.85
22-12-2016,48790,49196.25,48012,48226.3,48386.67,1071,773,51822120,261,24.37,1184.25,-563.7
26-12-2016,48992.65,49065.1,47978.4,48228.65,48368.2,700,508,33857742,155,22.14,1086.7,-764
28-12-2016,48980,49087.45,48305.5,48458.55,48723.06,835,537,40683758,173,20.72,781.95,-521.45
29-09-2016,50390,51486.9,47900,48584.8,50230.19,10260,6409,515361764,2353,22.93,3586.9,-1805.2
27-12-2016,48399,48787.15,47577.5,48642.4,48382.16,1002,696,48478927,152,15.17,1209.65,243.4
30-12-2016,49000,49283.25,48501,48781.15,49055.54,1214,696,59553426,476,39.21,782.25,-218.85
02-12-2016,49000,49300,48338.25,48812.45,48834.39,1235,763,60310467,169,13.68,961.75,-187.55
21-12-2016,49990,50075.65,48800,48840.2,49139.21,1222,924,60048111,320,26.19,1275.65,-1149.8
29-12-2016,48496,48999,48365.5,48889.65,48804.82,677,453,33040860,204,30.13,633.5,393.65
01-12-2016,50150,50680.55,48750.05,48912.65,49475.63,1373,863,67930039,276,20.1,1930.5,-1237.35
23-12-2016,48275.75,49658.75,48000,48966.35,48926.32,1188,848,58124473,223,18.77,1658.75,690.6
29-11-2016,47726,49450,47590.95,49105.9,48403.31,4701,1214,227543940,3163,67.28,1859.05,1379.9
02-01-2017,48789,49385.3,48780.65,49180.2,49067.16,1036,597,50833576,404,39,604.65,391.2
18-11-2016,50190,50190,49000,49198.85,49415.31,1167,791,57667672,219,18.77,1190,-991.15
26-10-2016,50127.25,50752.1,49300,49605.65,50218.46,2475,1535,124290699,667,26.95,1452.1,-521.6
02-11-2016,49447.3,50250,48848.5,49607.65,49552.59,2354,1516,116646799,290,12.32,1401.5,160.35
28-09-2016,46701,50000,46701,49734.45,48782.68,9629,4946,469728396,2422,25.15,3299,3033.45
22-02-2017,50143.1,50634.95,49600,49755.4,50094.59,1346,822,67427316,372,27.64,1034.95,-387.7
20-10-2016,50600,51462.6,49476.9,49787.85,50420.94,2646,1554,133413814,569,21.5,1985.7,-812.15
20-12-2016,51699,51832.35,49713,49822.8,50872.17,3726,873,189549687,3002,80.57,2119.35,-1876.2
17-10-2016,52600,52600,49735,49842.45,50781.76,3937,2233,199927794,534,13.56,2865,-2757.55
17-11-2016,51898,51898,49539,49883.6,50132.96,1376,968,68982947,117,8.5,2359,-2014.4
30-11-2016,49490,50600,49490,49899.25,50126.05,1972,1253,98848578,346,17.55,1110,409.25
24-10-2016,50850,50850,49801.05,49943.25,50272.72,1311,754,65907541,254,19.37,1048.95,-906.75
15-02-2017,50200,50590,50000,50038.25,50200.82,1057,613,53062265,241,22.8,590,-161.75
17-02-2017,50606,50915.45,49990,50065,50391.46,1057,713,53263778,201,19.02,925.45,-541
